Locality,Zip Code,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Garden,Swimming Pool,Surface of the Land (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url,Price/m2,Price/m2 Ratio,Price Ratio,Zip Code Score,Type of Property Score,Number of Rooms Score,Livable Space (m2) Score,Surface of the Land (m2) Score,State of the Building Score,Primary Energy Consumption (kWh/m2) Score
Gent,9000,Apartment,apartment,229000,1,43,0,0,0,0,0,0,0,3,342,3,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20294805,5325.581395348837,0.022100510825628316,0.0693939393939394,0.17972830880082344,0.5310389297181993,0.18192867130434218,0.06448843310279037,0.11752180671513664,0.7497975974989369,0.5751601225285436
Woluwe-saint-pierre,1150,House,house,1750000,4,260,1,0,0,1,1,0,2200,0,0,1,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20301033,6730.7692307692305,0.027931868317576936,0.5303030303030303,0.3087310344827586,1.0,0.5711504895801999,0.29623817473567055,0.39204545454545453,0.9099970571041955,0.2610471689017736
Schaerbeek,1030,Apartment,apartment,320000,2,117,1,0,0,1,0,0,0,1,323,0,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20294802,2735.042735042735,0.01135009252269793,0.09696969696969697,0.1655018777739843,0.5310389297181993,0.27015323944133907,0.14167593322203673,0.11752180671513664,0.7547116896058398,0.2720945220193341
Beveren-leie,8791,House,villa,1350000,4,320,1,0,1,0,0,1,873,6,14,3,https://www.immoweb.be/en/classified/villa/for-sale/beveren-leie/8791/20279507,4218.75,0.017507296034766973,0.4090909090909091,0.21004310344827587,1.0,0.5711504895801999,0.38807690236415526,0.19357575757575757,0.7497975974989369,0.3183892857142857
Stekene,9190,House,house,475000,5,154,1,0,0,1,1,0,402,6,0,3,https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20300771,3084.4155844155844,0.012799947076885906,0.14393939393939395,0.16155627257799673,1.0,0.7595340137453207,0.16590453719161566,0.1594476515151515,0.7497975974989369,0.2610471689017736
Londerzeel,1840,House,house,499500,4,166,1,0,0,0,0,0,415,6,0,5,https://www.immoweb.be/en/classified/house/for-sale/londerzeel/1840/20320377,3009.0361445783133,0.012487131629616927,0.15136363636363637,0.1949982445141066,1.0,0.5711504895801999,0.17599523014548057,0.15357272727272728,1.0,0.2610471689017736
Oostende,8400,Apartment,apartment,245000,2,64,0,0,0,1,0,0,0,5,158,5,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20294742,3828.125,0.015886250105621884,0.07424242424242425,0.1313725168665667,0.5310389297181993,0.27015323944133907,0.08527547764793174,0.11752180671513664,1.0,0.19843000358037954
Zonnebeke,8980,House,villa,419193,4,174,0,0,0,0,0,0,664,6,0,3,https://www.immoweb.be/en/classified/villa/for-sale/zonnebeke/8980/11463999,2409.155172413793,0.009997699033395755,0.12702818181818182,0.20776812807881773,1.0,0.5711504895801999,0.18023933639398998,0.13154439393939393,0.7497975974989369,0.2610471689017736
Molenbeek-saint-jean,1080,Apartment,apartment,175000,1,71,1,0,0,0,0,0,0,2,218,3,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20289607,2464.788732394366,0.010228571496577469,0.05303030303030303,0.10020019157088123,0.5310389297181993,0.18192867130434218,0.09218329694790463,0.11752180671513664,0.7497975974989369,0.3636477557530189
Vilvoorde,1800,Apartment,apartment,468000,2,117,0,0,0,1,0,0,0,6,0,0,https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20289570,4000.0,0.016599510314445724,0.14181818181818182,0.14085330344827585,0.5310389297181993,0.27015323944133907,0.14167593322203673,0.11752180671513664,0.7547116896058398,0.2610471689017736
Heuvelland,8950,House,house,365000,3,150,1,0,0,0,0,0,286,6,61,5,https://www.immoweb.be/en/classified/house/for-sale/heuvelland/8950/20244285,2433.3333333333335,0.010098035441287815,0.11060606060606061,0.2006896551724138,1.0,0.3869261187378436,0.16592712258526116,0.12484848484848485,1.0,0.3023146100545482
S-gravenwezel,2970,House,villa,1949000,6,616,1,0,1,0,0,0,14581,5,197,5,https://www.immoweb.be/en/classified/villa/for-sale/s-gravenwezel/2970/20329788,3163.961038961039,0.013130050975184543,0.5906060606060606,0.3930753567181926,1.0,0.8723410353935813,0.6507512520868113,0.5906060606060606,1.0,0.34665509928667826
Antwerpen,2000,Apartment,apartment,495000,2,117,1,0,0,1,0,0,0,5,194,5,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20289598,4230.7692307692305,0.01755717437104836,0.15,0.21915138113482943,0.5310389297181993,0.27015323944133907,0.14167593322203673,0.11752180671513664,1.0,0.26279239766081874
Vilvoorde,1800,Apartment,apartment,361467,3,123,0,0,0,1,0,0,0,6,0,0,https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20289568,2938.756097560976,0.01219547803827592,0.10953545454545455,0.14085330344827585,0.5310389297181993,0.3869261187378436,0.13420783846092693,0.11752180671513664,0.7547116896058398,0.2610471689017736
Gent,9030,House,house,249000,3,102,0,0,0,1,0,0,180,1,507,1,https://www.immoweb.be/en/classified/house/for-sale/gent/9030/20283392,2441.176470588235,0.010130583500727904,0.07545454545454545,0.16128505747126437,1.0,0.3869261187378436,0.12368933516645388,0.17864527629233512,0.9099970571041955,0.2920873612602936
Knokke-heist,8300,House,house,1690000,3,291,0,0,0,0,0,0,732,0,45,5,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20233991,5807.560137457044,0.024100663600870507,0.5121212121212121,0.31526985528547197,1.0,0.3869261187378436,0.39292153589315526,0.5121212121212121,1.0,0.3012724117987276
Oreye,4360,House,villa,520000,3,206,0,0,0,1,1,0,2000,5,86,0,https://www.immoweb.be/en/classified/villa/for-sale/oreye/4360/20300747,2524.2718446601943,0.010475419130475457,0.15757575757575756,0.14655172413793102,1.0,0.3869261187378436,0.21922326684825588,0.3597834632034632,0.7547116896058398,0.2907250268528464
Gent,9000,House,house,298000,2,94,0,0,0,0,1,0,57,5,117,5,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20290063,3170.2127659574467,0.013155994876874536,0.0903030303030303,0.17972830880082344,1.0,0.27015323944133907,0.1171833677598257,0.09404040404040404,1.0,0.2873715538847118
Brugge,8000,House,house,420000,3,144,0,0,0,1,0,0,64,4,237,3,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20257790,2916.6666666666665,0.012103809604283339,0.12727272727272726,0.2605711206896552,1.0,0.3869261187378436,0.15358434124902046,0.1357070707070707,0.7497975974989369,0.3829072681704261
Adegem,9991,House,house,415000,3,123,0,0,0,0,0,0,342,6,81,0,https://www.immoweb.be/en/classified/house/for-sale/adegem/9991/20289601,3373.9837398373984,0.014001619472550762,0.12575757575757576,0.24172413793103445,1.0,0.3869261187378436,0.13420783846092693,0.1428718787878788,0.7547116896058398,0.23720390261367702
Kuurne,8520,House,house,491100,3,173,0,1,0,0,0,0,181,6,0,3,https://www.immoweb.be/en/classified/house/for-sale/kuurne/8520/20267470,2838.728323699422,0.011780375022289444,0.14881818181818182,0.17685057471264368,1.0,0.3869261187378436,0.1923741983766047,0.11131818181818182,0.7497975974989369,0.2610471689017736
